iter	Passed	Remaining
0	0	85
1	1	74
2	2	70
3	2	65
4	3	64
5	4	63
6	4	62
7	5	61
8	6	60
9	6	60
10	7	59
11	7	58
12	8	57
13	9	56
14	9	55
15	10	55
16	11	54
17	11	53
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	49
25	17	48
26	17	47
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	42
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	67	0
